,similar_clips,clip_id
96,[1979 2549  376 1874  453 2633  289 1535   77  218],233863547
97,[ 885  668  154  537  406  861  340  779 2189 3073],233322007
98,[ 421  783 1895  255 1666 3154 2974 2661 1667  661],233755536
99,[3530  454 3715 1586 1979  187   74   77 3397 1535],230509218
100,[1707 1496 2813  879 2370 2877  789  269 2040 1628],200338260
101,[2430 2974  215  420  704  577 3762  915  540  590],180491843
102,[ 814  528 1800 1138  298 1275 2291 2030  253  161],232404251
103,[2765 1962 3623 2463 1874 3501 1449 1066  694  260],233275086
104,[ 850 3073 2323 1980  371  228 3068  201 2430 2744],175908154
105,[ 207   62  202  152 3712  160 3632  357  124   60],209759018
106,[ 160 2437 2736  231  357 2603  124   60  654  105],227660894
107,[ 345  757 1025 1921   67 1004  263  230  576  285],229802433
108,[1004  739  307  409  167 2492  905  123  475 1561],230485453
109,[ 499 1196 2431 2715 3676 1144 2852 3684 2287  334],170955105
110,[  94  106  229  659  955  357  124   60  105 2888],231498722
111,[1619 1563   63 3419  242  290 1282 1217 2270 1222],228801970
112,[1589 1601 2834 3017 2821 3467  242 2413 1107 1741],133490035
113,[3449 3663 3214 2204 2293 2430  257 3637  812  954],230147714
114,[2790   45 2309  130  211  312   71 3219  261  317],230871724
115,[ 335 3334 1028  393 3294 2659  608 2484  222  141],230586645
116,[ 523  728   50 2452 2584  999  480 1289 1200 1313],211970798
117,[ 119  880 1125  558  121 1400 1132  645  781  841],124346309
118,[ 796 2436 1438 1039 2544 1461  393  638  614  388],229617311
119,[1025  880  117 1628  645  121  911  789 1132  841],88819008
120,[ 241 2613 2987 1117 1613 2048 1670 1795  745 3768],229370456
121,[ 905  558  948  911  119  869 1400  117  841 1132],88856141
122,[ 723 3378  838 3128  964 3303  206 2714  215 1229],228977554
123,[1628  409  167  576   43  475 1025  307 1004  905],228982151
124,[  94  207   62  202  152 3712  160  357   60  105],227890020
125,[3432 3091 2803   26 1442 2067 3697 3723 3836 3705],226541685
126,[3467  206  227 1061  703 2657  859 1595 1195 2893],227962431
127,[1631 3174   27 2060 3240 1924 1515 1639  558  313],228013581
128,[1060  188 3598 1472 3276 2563  298 3436 2363 2211],223503242
129,[  42 1313  168  999 1336 2219  617 3458 2136 1815],226766902
130,[1661 1908 2505  211  312   71 1842  261  317 3238],227673524
131,[ 211  312   71  928 1950 2086  261  317 3529 3348],227595474
132,[2078 1105 3682 3448 3424  934 3690 2973 3679 3091],225747214
133,[1533 2670 2705   60  170  932  172  105 2206 2635],226788946
134,[ 206 1055  546  819 3766 2847  423 2428 3820  587],226991192
135,[ 821 1895  614 2095  638 2544 1096  999 2688   70],226771837
136,[2691 2863   69  519  458  276 2311 3169 2487 2072],225956849
137,[ 758 2835 1357 2135 1375 2609 2468 2621 1984 3356],226500452
138,[1662  251 2763 1233 1656  420 2430 1111 1658 1389],224243067
139,[2437 1080 2017 1111  324 1658  540 1798  357 1389],226199475
140,[1233 1639  335  230 1004 2342  535  619  174  463],220643078
141,[ 952 1252  335 2265 1028 1433 3266 3294  222  115],226391195
142,[ 285  337  665 1645  535  230  779  263  936 1115],226294034
143,[ 202   81 3712  160 2513  357 3205  124   60  105],195741434
144,[3703 2606 1032 2549 3312  947  584  333 3870 2774],186453378
145,[1988  335 2193  388 1006 2191  796 3075  767  797],221878712
146,[1633  950 2335 2320  335 2100 3059 1081  140 2270],224196965
147,[2292  228 3066  261  723 3845  206  229 3778 1184],225479756
148,[ 469  187  991 1965 3119 1226 3093 2054 3581  779],225726864
149,[3544   71  495 1976 3057  229  261  312  317 1544],223273274
150,[ 692 2023 2529 3401  873   68  326 3204 3529  358],223928856
151,[2260  357  801  124   60  105 3756 1854 2580 2323],224876461
152,[  62  202 2102 3712  160 1798  357  124   60  105],223986921
153,[2292  849 1184 3651 2884 3829 3646  314 3573  229],225045336
154,[ 729 1122  784 2231 1340  615  335  897  483   72],223823259
155,[ 374  771  161  963 3370  446 1585 2160 1670 1860],223612160
156,[  22    0  316  548  866 2891   87  227  723  206],223163255
157,[1258 2096 2108  263 2060 3174 2820  962 1921 1891],188353336
158,[3649  779 2230 2143  961  799 1359  666 2702  580],198437984
159,[2586 3529 1976 2597  949  265 1384 1902  740  457],223080635
160,[2897  202  152   79 1613 3712  357  124   60  105],222855070
161,[2879  155 2623 2291 1416 3277 3098 3240  253  102],223426078
162,[ 553  791 2099 1312   26 2515 2186 1434 2605 1749],220026457
163,[142 535 510 339 379 885 190 779 952 713],222486164
164,[1953 3610 3437 1965 2992 1656 3862 2639 3859 1926],222706185
165,[   0 1872  866   87  227  156  239  723  206 3373],223149325
166,[ 215  540  747 2986  924 1094  230 1070  577 3380],217823611
167,[ 905  411  123  739  345  915  811 1496  576 1025],222588805
168,[1315  277  757 1183 1977 1025  915 1496  345  576],220813674
169,[  65 3529 3436 2430 2822 2376  540 2865 2387 2314],221441846
170,[3628 2027 3209 3135  354  828 2164 2948 1659  186],221197244
171,[2017 1073 2370  230 2722 1004 1780 1178  782 1846],221351889
172,[1068 1438  133 1329 2304  261  317 1401 2635  586],137094136
173,[2271  269 2877  911  879   37 1628 2040 2813  789],221508258
174,[2430 3577   56   49  263  285  230   25  463  140],222224659
175,[3715 2531  866   87  227  156 3480  723  206 1908],216706579
176,[3334  586 1080 1111 2430 1658 2209  540 1389  682],221632885
177,[ 556  614  784  335  668  393  832 1039  388  361],221709916
178,[ 509  317  971 3093 2749 1182 3392 3563 3646 3835],221447808
179,[ 553  261 2000 2659 1364  791 1021 2605 1169 3334],82395449
180,[ 649 1032 1798 3382  230 3639 3097  285 3870 3810],221417668
181,[ 729 1079  154   72 3669 1658 3354 1885 2900  575],220442625
182,[ 130 3144 2156  211  312   71 3660 1798  261  317],220728892
183,[1538  402 2765 2258 1576 2044  218  289 3433 3810],220555992
184,[1007  357 3712  124 3835  265   60 3539  105 3422],220883711
185,[2160 1025  388 2436  832  784  614  167  788  335],221403214
186,[3830 3458 3149  987 2652 1070 1365  467 2462  170],219833841
187,[1261 2266 3427 2436 1050 3455  745  488 1090 1352],220277207
188,[2519  215 1074  864 2211 2157 1636  128  424 2831],220301745
189,[3104 3286 1656  729 3064  629  928 2155 1668  723],177898132
190,[ 666 1717 2401 1963  723  206  227 2340 2006 2467],209071596
191,[1811  570  809  171 2555 1065 2378 1327 2592 1846],193330065
192,[ 879 2040   43  789 1639  911 2370  715 1924 1628],129075739
193,[1378 3467  312 1965 3798  948 1032 3870 1697  123],217398143
194,[ 975 2535 2367 1188 2410 1700 1045 1130  729   72],219024162
195,[1996  976  335 1010  467  614  502  796  274   24],217868951
196,[2342 1593  197 2268 2484  171  796 2716 1668 1571],218392001
197,[ 715  948 1628 2813 2942  789   37  269 2040 2370],218736744
198,[2402   45 3460 2435 2736 1111 2430 2763 3738 2439],217958236
199,[2100 2887 1100  755 1217  653  497 2017  589 1796],218798641
200,[ 316  147 1031    0  723  410  206 3768 1294 2594],210735368
201,[ 739  811  409  475  307  905  123 1025  576  167],218234161
202,[ 207  152 3712  160  357  124   60  105  516  806],218597363
203,[ 335 2484  154  195  483  885 1468  603  695 1649],217775903
